SNr;WallId;DateOfAction;TotalPosts;TotalComments;TotalLikes;TotalSharers;TotalCommentLikes;TotalCommentReplies;TotalCommentReplyLikes;PostsbyAdmin;CommentsbyAdmin;LikesByAdmin;LikesOnAdminPosts;CommentsOnAdminPosts;LikesOnAdminComments;NonAdminPosts;NonAdminComments;LikesOnNonAdminPosts;LikesOnNonAdminComments;NonAdminCommentLikes;TotalUniqueActors;totaluniquePosters;TotalUniqueCommenters;TotalUniqueLikers;TotalUniqueCommentLikers;TotalUniqueCommentRepliers;TotalUniqueCommentReplyLikers
1;612861008745063;2014-12-31;1;158;5194;112;30;2;0;2;4;2;5194;158;0;31;158;41;30;30;2652;1;75;2597;11;1;0
2;612861008745063;2015-02-04;1;41;59;48;16;12;1;1;14;1;59;20;0;25;27;0;16;6;44;20;26;59;7;6;1
3;612861008745063;2015-03-03;1;13;65;2;1;50;8;1;3;0;63;15;0;22;10;2;1;1;90;21;7;65;1;11;7
4;612861008745063;2015-03-05;1;47;1357;85;4;31;13;1;13;2;1357;47;0;26;47;6;4;4;1403;1;47;1357;4;14;12
5;612861008745063;2015-03-10;1;196;6664;336;27;73;108;1;6;1;6664;196;0;32;196;42;27;27;6843;1;196;6664;19;55;68
6;612861008745063;2015-03-18;1;65;537;26;0;9;1;3;32;4;347;13;0;37;33;190;0;0;506;36;28;465;0;5;1
7;612861008745063;2015-03-20;1;40;24;657;0;52;104;2;16;2;60;17;0;33;24;24;0;0;162;34;23;21;0;31;87
8;612861008745063;2015-03-23;1;24;1;0;144;9;1;1;14;0;703;170;0;16;10;1;144;53;24;16;9;1;48;6;1
9;612861008745063;2015-04-01;1;413;5659;357;44;165;204;3;7;1;5659;413;0;27;413;56;44;44;5065;1;394;4563;42;122;144
10;612861008745063;2015-04-10;1;46;814;30;449;3;5;2;10;1;248;21;0;46;36;566;449;448;875;45;34;812;236;2;5
11;612861008745063;2015-04-17;1;250;3425;0;42;123;158;1;11;1;3425;250;0;22;250;1;42;42;3779;1;249;3425;40;96;104
12;612861008745063;2015-07-02;1;45;5733;257;6;19;31;1;14;3;5733;45;0;53;45;151;6;6;5793;1;44;5733;6;17;23
13;612861008745063;2015-07-07;1;308;3137;396;57;117;102;1;2;2;3137;308;0;41;308;29;57;57;3534;1;305;3137;56;92;75
14;612861008745063;2015-07-08;6;40;62;1;2;13;1;2;22;2;725;2;0;52;18;62;2;2;95;47;12;52;2;5;1
15;612861008745063;2015-07-09;3;10;118;4;6;3;13;1;4;3;62;5;0;44;6;56;6;6;151;43;6;110;6;3;11
16;612861008745063;2015-07-10;1;7;842;9;8;3;2;1;4;5;101;8;0;45;3;741;8;8;875;44;4;833;8;3;2
17;612861008745063;2015-07-11;2;6;34;1;12;7;10;2;4;1;771;2;0;36;2;34;12;12;63;35;3;31;10;5;7
18;612861008745063;2015-07-12;1;15;52;2;5;1;10;2;9;2;333;2;0;44;6;52;5;5;87;39;6;47;5;1;7
19;612861008745063;2015-07-13;2;50;20;6;2;52;9;1;29;5;38;5;0;54;21;20;2;2;81;52;20;16;2;21;8
20;612861008745063;2015-07-14;2;57;480;27;6;16;3;1;28;3;92;35;0;74;29;388;6;6;548;68;22;473;3;5;2
21;612861008745063;2015-07-15;2;24;317;5;31;9;5;1;15;1;62;82;0;71;9;255;31;31;362;60;8;304;29;3;5
22;612861008745063;2015-07-16;2;44;19;5;13;18;4;1;23;1;7;15;0;52;21;19;13;13;67;49;15;13;13;7;3
23;612861008745063;2015-07-17;2;47;646;70;0;18;1;2;29;3;575;10;0;69;18;71;0;0;678;67;17;610;0;9;1
24;612861008745063;2015-07-18;1;9;14;1;4;3;2;2;1;1;640;9;0;18;9;14;4;4;22;15;9;10;4;3;2
25;612861008745063;2015-07-19;1;3;170;0;3;4;2;2;2;1;306;14;0;35;1;170;3;3;168;30;2;138;2;3;2
26;612861008745063;2015-07-20;2;38;150;5;0;6;3;1;20;1;136;16;0;40;18;14;0;0;194;39;14;150;0;6;3
27;612861008745063;2015-07-21;2;28;160;10;42;5;3;1;13;2;119;64;0;58;15;41;42;6;206;51;14;152;7;5;3
28;612861008745063;2015-07-22;2;96;21;20;8;1;2;1;21;1;19;67;0;57;75;21;8;7;127;50;64;19;7;1;2
29;612861008745063;2015-07-23;3;8;140;2;14;2;1;2;5;1;31;40;0;54;3;140;14;9;180;53;3;131;10;2;1
30;612861008745063;2015-07-24;2;95;265;24;8;3;2;2;12;7;228;67;0;43;83;37;8;8;356;43;65;254;6;2;2
31;612861008745063;2015-07-26;1;20;39;32;6;21;23;1;10;1;12;1;0;57;10;39;6;6;100;52;10;38;6;13;8
32;612861008745063;2015-07-27;2;29;116;15;0;36;14;1;15;3;25;1;0;63;14;116;0;0;172;61;11;111;0;15;6
33;612861008745063;2015-07-28;1;110;216;12;2;10;1;1;39;2;161;38;0;53;71;55;2;2;296;52;56;205;2;6;1
34;612861008745063;2015-07-29;3;37;87;11;2;11;1;3;11;5;165;6;0;55;26;87;2;2;131;49;23;73;2;5;1
35;612861008745063;2015-07-30;2;9;29;2;0;15;1;2;6;4;1740;8;0;55;3;29;0;0;66;48;4;17;0;10;1
36;612861008745063;2015-07-31;4;3;576;22;0;2;15;3;3;2;315;19;0;69;19;261;0;0;560;59;1;504;0;1;11
37;612861008745063;2015-08-04;3;24;60;4;6;12;2;2;10;1;273;5;0;56;14;60;6;6;106;52;13;48;6;5;2
38;612861008745063;2015-08-05;4;19;140;10;17;32;13;1;14;3;91;16;0;71;5;49;17;17;187;68;5;123;11;14;6
39;612861008745063;2015-08-06;4;7;110;8;2;4;10;3;5;1;1384;1;0;67;2;110;2;2;144;58;3;82;2;3;10
40;612861008745063;2015-08-07;4;13;122;11;1;21;7;1;8;3;84;5;0;48;5;38;1;1;154;46;6;108;1;9;4
41;612861008745063;2015-08-08;1;23;30;2;1;3;1;1;10;1;72;32;0;29;13;30;1;1;51;29;11;19;1;3;1
42;612861008745063;2015-08-09;1;17;59;18;0;4;2;2;5;2;309;26;0;34;12;59;0;0;70;31;9;39;0;3;1
