Snr;WallId;WeekNr;TotalPosts;TotalComments;TotalLikes;TotalSharers;TotalCommentLikes;TotalCommentReplies;TotalCommentReplyLikes;PostsbyAdmin;CommentsbyAdmin;LikesByAdmin;LikesOnAdminPosts;CommentsOnAdminPosts;LikesOnAdminComments;NonAdminPosts;NonAdminComments;LikesOnNonAdminPosts;LikesOnNonAdminComments;NonAdminCommentLikes;TotalUniqueActors;totaluniquePosters;TotalUniqueCommenters;TotalUniqueLikers;TotalUniqueCommentLikers;TotalUniqueCommentRepliers;TotalUniqueCommentReplyLikers
1;612861008745063;2014-53;1;158;5194;112;30;2;0;2;4;2;5194;158;0;31;158;41;30;30;2652;1;75;2597;11;1;0
2;612861008745063;2015-06;1;41;59;48;16;12;1;1;14;1;59;20;0;25;27;0;16;6;44;20;26;59;7;6;1
3;612861008745063;2015-10;2;60;1422;87;5;81;21;2;16;2;1420;62;0;48;57;8;5;5;1493;22;54;1422;5;25;19
4;612861008745063;2015-11;1;196;6664;336;27;73;108;1;6;1;6664;196;0;32;196;42;27;27;6843;1;196;6664;19;55;68
5;612861008745063;2015-12;2;105;561;683;0;61;105;5;48;6;407;30;0;70;57;214;0;0;668;70;51;486;0;36;88
6;612861008745063;2015-13;1;24;1;0;144;9;1;1;14;0;703;170;0;16;10;1;144;53;24;16;9;1;48;6;1
7;612861008745063;2015-14;1;413;5659;357;44;165;204;3;7;1;5659;413;0;27;413;56;44;44;5065;1;394;4563;42;122;144
8;612861008745063;2015-15;1;46;814;30;449;3;5;2;10;1;248;21;0;46;36;566;449;448;875;45;34;812;236;2;5
9;612861008745063;2015-16;1;250;3425;0;42;123;158;1;11;1;3425;250;0;22;250;1;42;42;3779;1;249;3425;40;96;104
10;612861008745063;2015-27;1;45;5733;257;6;19;31;1;14;3;5733;45;0;53;45;151;6;6;5793;1;44;5733;6;17;23
11;612861008745063;2015-28;13;371;4193;411;85;143;128;7;36;13;4796;325;0;218;337;922;85;85;4718;170;330;4163;82;108;96
12;612861008745063;2015-29;12;246;1548;116;61;117;34;10;134;16;1747;158;0;382;113;819;61;61;1845;350;97;1473;56;49;28
13;612861008745063;2015-30;12;268;906;61;75;21;13;9;73;13;839;268;0;287;195;423;75;33;1231;266;162;844;32;19;13
14;612861008745063;2015-31;13;208;1063;94;10;95;55;11;84;17;2418;73;0;352;143;587;10;10;1325;321;105;948;10;50;28
15;612861008745063;2015-32;16;86;462;35;27;72;33;8;47;9;1904;59;0;271;39;287;27;27;642;253;38;380;21;34;23
16;612861008745063;2015-33;20;147;563;60;12;82;45;11;62;5;3341;128;0;251;85;563;12;6;777;240;81;485;7;33;33
17;612861008745063;2015-34;13;651;405;93;68;274;124;10;218;13;2214;265;0;300;433;331;68;68;1083;286;379;376;63;144;76
18;612861008745063;2015-35;16;230;3845;90;30;106;34;7;118;12;2248;243;0;343;113;3136;30;30;3673;337;95;3292;26;59;30
19;612861008745063;2015-36;19;438;629;67;112;151;109;11;155;8;2079;82;0;431;283;378;112;112;1203;418;236;597;102;71;68
20;612861008745063;2015-37;10;248;1190;234;75;216;34;7;104;11;6722;261;0;418;144;618;75;66;1642;393;126;1146;66;99;30
21;612861008745063;2015-38;12;381;15396;1474;139;181;41;6;81;7;17522;286;0;398;301;1079;139;71;15515;369;290;15050;71;112;34
22;612861008745063;2015-39;6;78;1512;145;99;69;28;6;47;4;1152;110;0;320;31;615;99;39;1781;301;29;1483;30;34;25
23;612861008745063;2015-40;11;84;2397;89;189;74;50;7;15;8;3351;141;0;222;70;350;189;152;2618;220;72;2379;100;35;35
24;612861008745063;2015-41;13;37;2285;191;11;30;12;7;11;17;4397;77;0;274;28;601;11;11;2509;259;32;2256;8;20;12
25;612861008745063;2015-42;4;205;2954;399;18;14;5;7;3;9;2996;204;0;158;204;343;18;18;1473;78;105;1331;9;9;4
26;612861008745063;2015-43;8;2236;95232;18424;964;566;293;14;17;7;92892;2052;0;342;2236;3308;964;964;48409;44;1059;47212;401;237;119
27;612861008745063;2015-44;13;864;19505;2025;88;72;32;14;8;5;14504;676;0;127;863;5301;88;88;10174;76;413;9825;33;36;15
28;612861008745063;2015-45;14;1633;29074;3914;308;222;80;30;19;16;23882;1510;0;262;1633;6683;308;308;14896;45;718;14206;108;88;43
29;612861008745063;2015-46;14;2788;94894;8240;2236;572;561;20;107;65;94894;2788;0;430;2788;1956;2236;2236;48146;6;1282;46458;953;182;168
