Author_name;Topic_title;No_of_pages;Start_datetime;Reply_count;Topic_link
gunijens85;Første gang i Fitness World ;1;16-11-2017 16:33 ;3;http://www.dindebat.dk/topic/716173-f%C3%B8rste-gang-i-fitness-world/
Andersbagne;Find andet indhold som er tagget med 'løbetræning';1;08-06-2017 20:08 ;1;http://www.dindebat.dk/tags/l%C3%B8betr%C3%A6ning/
delfina241;Kettlebells nogen der har prøvet dem? ;2;15-11-2012 10:28 ;14;http://www.dindebat.dk/topic/659159-kettlebells-nogen-der-har-pr%C3%B8vet-dem/
stig6499;Pilates ;1;15-07-2017 15:52 ;0;http://www.dindebat.dk/topic/715530-pilates/
M1978;Yoga pude ;1;12-07-2017 12:26 ;0;http://www.dindebat.dk/topic/715521-yoga-pude/
Butterfly88;Første marathonløb, hvor? ;1;20-04-2017 19:00 ;0;http://www.dindebat.dk/topic/715146-f%C3%B8rste-marathonl%C3%B8b-hvor/
Idaogmichael;Yoga i København?? Anbefaling søges ;1;19-03-2017 15:49 ;1;http://www.dindebat.dk/topic/714971-yoga-i-k%C3%B8benhavn-anbefaling-s%C3%B8ges/
BeeingMySelf;Tasppegang og udregning af forbrænding ;1;12-03-2017 16:41 ;0;http://www.dindebat.dk/topic/714932-tasppegang-og-udregning-af-forbr%C3%A6nding/
Butterfly88;Løb og stress ;1;06-03-2017 08:34 ;4;http://www.dindebat.dk/topic/714893-l%C3%B8b-og-stress/
fitnessguru;fitness i naturen ;1;02-03-2017 17:42 ;0;http://www.dindebat.dk/topic/714875-fitness-i-naturen/
Frk_Chris;Sko til og fra yoga i fitness center ;1;10-02-2017 12:31 ;1;http://www.dindebat.dk/topic/714710-sko-til-og-fra-yoga-i-fitness-center/
ko123;Spørgeskema (12 sekunder) ;1;07-12-2016 13:09 ;3;http://www.dindebat.dk/topic/714206-sp%C3%B8rgeskema-12-sekunder/
sille741;Fitmaxx 5 ;1;22-04-2016 06:34 ;2;http://www.dindebat.dk/topic/712314-fitmaxx-5/
biibi2;De særeste oplevelser i fitnesscenteret ;91 ;15-03-2011 08:41 ;901;http://www.dindebat.dk/topic/606307-de-s%C3%A6reste-oplevelser-i-fitnesscenteret/
nicolaihartmann;4 ugers transformation med daglige videoer! ;1;13-07-2016 17:09 ;1;http://www.dindebat.dk/topic/713142-4-ugers-transformation-med-daglige-videoer/
Charl0tte;Blær dig!!! ;281 ;13-09-2009 15:45 ;2.800;http://www.dindebat.dk/topic/532757-bl%C3%A6r-dig/
